1,1,119.9688,92.1250,30.0781,41.7656,1,1,1,0
1,2,192.8438,86.2812,9.6250,11.3438,1,1,1,0
1,3,101.7500,103.6406,13.2344,13.7500,1,1,1,0
1,7,147.0030,65.2035,11.8962,17.2035,1,2,-1,1
1,5,159.9614,55.0088,6.1605,11.6814,1,2,-1,1
1,4,166.1219,60.1062,5.0984,7.6460,1,2,-1,1
1,6,142.5419,62.2301,7.2227,7.6460,1,2,-1,1
2,1,119.2812,93.6719,29.9062,41.5938,1,1,1,0
2,2,192.8438,85.5078,9.6250,11.6875,1,1,1,0
2,3,101.4062,104.6719,13.0625,13.4062,1,1,1,0
2,7,146.7855,65.2389,12.0479,17.3148,1,2,-1,1
2,5,159.8788,55.0914,6.2904,11.6932,1,2,-1,1
2,4,166.0624,60.2209,5.1069,7.6758,1,2,-1,1
2,6,142.9243,62.3575,7.0103,7.7735,1,2,-1,1
3,1,118.2500,93.3281,31.2812,44.0000,1,1,1,0
3,2,192.8438,85.1641,9.6250,11.1719,1,1,1,0
3,3,100.6328,105.0156,12.8906,13.7500,1,1,1,0
3,7,146.5680,65.2743,12.1997,17.4260,1,2,-1,1
3,5,159.7962,55.1740,6.4202,11.7050,1,2,-1,1
3,4,166.0029,60.3356,5.1154,7.7055,1,2,-1,1
3,6,143.3067,62.4850,6.7978,7.9009,1,2,-1,1
4,1,116.8750,93.3281,32.6562,45.0312,1,1,1,0
4,2,192.5000,84.3906,9.6250,11.3438,1,1,1,0
4,3,99.6875,105.1016,13.0625,14.6094,1,1,1,0
4,7,146.3505,65.3097,12.3514,17.5373,1,2,-1,1
4,5,159.7135,55.2566,6.5500,11.7168,1,2,-1,1
4,4,165.9435,60.4503,5.1239,7.7352,1,2,-1,1
4,6,143.6891,62.6124,6.5854,8.0283,1,2,-1,1
5,1,116.0156,94.3594,33.0000,45.7188,1,1,1,0
5,2,192.8438,84.1328,8.9375,10.8281,1,1,1,0
